name,line,over,under
Amir Coffey Turnovers,0.5,539,-1400
Danuel House Jr. Three Points Made,0.5,190,-292
Danuel House Jr. Turnovers,0.5,357,-677
De'Anthony Melton Points,9.5,32.66666667,-136
De'Anthony Melton Rebounds,4.5,-122.4285714,-78.57142857
De'Anthony Melton Assists,2.5,-129.6,-19.2
De'Anthony Melton Points + Rebounds + Assists,19.5,30,-124.6666667
De'Anthony Melton Points + Rebounds,16.5,-115,-115
De'Anthony Melton Points + Assists,10.5,-138,-104
De'Anthony Melton Rebounds + Assists,6.5,103,-148
De'Anthony Melton Three Points Made,2.5,126.5,-160.5
De'Anthony Melton Blocks,0.5,190,-292
De'Anthony Melton Steals,0.5,-222,150
De'Anthony Melton Steals + Blocks,1.5,122,-177
De'Anthony Melton Turnovers,0.5,-163,113
Furkan Korkmaz Three Points Made,0.5,499,-1200
Furkan Korkmaz Turnovers,0.5,477,-1100
Georges Niang Three Points Made,0.5,-187,128
Georges Niang Turnovers,0.5,167,-252
Georges Niang Points,6.5,-126.5,0.5
Ivica Zubac Points,7.5,-113.6666667,-115.3333333
Ivica Zubac Rebounds,8.5,60.8,-127.6
Ivica Zubac Assists,1.5,122,-177
Ivica Zubac Points + Rebounds + Assists,17.5,-107.5,-118.5
Ivica Zubac Points + Rebounds,16.5,105,-135
Ivica Zubac Points + Assists,9.5,113,-163
Ivica Zubac Rebounds + Assists,13.5,-140,-103
Ivica Zubac Blocks,2.5,122,-177
Ivica Zubac Steals,0.5,291,-502
Ivica Zubac Steals + Blocks,2.5,-128,-112
Ivica Zubac Turnovers,0.5,-136,-106
Ivica Zubac Three Points Made,0.5,3500,-5000000
James Harden Points,20.5,-108.3333333,-118.6666667
James Harden Rebounds,5.5,-28,-125.8
James Harden Assists,9.5,20.4,-129.2
James Harden Points + Rebounds + Assists,35.5,-113.3333333,-113.3333333
James Harden Points + Rebounds,24.5,-118,-122
James Harden Points + Assists,32.5,-110,-130
James Harden Rebounds + Assists,18.5,-106,-136
James Harden Three Points Made,2.5,122,-161.2
James Harden Blocks,0.5,236,-382
James Harden Steals,1.5,-130,-110
James Harden Steals + Blocks,1.5,-212,144
James Harden Turnovers,1.5,-202,138
Joel Embiid Points,30.5,-110.8,-116
Joel Embiid Rebounds,10.5,109,-139
Joel Embiid Assists,3.5,-30,-6.8
Joel Embiid Points + Rebounds + Assists,44.5,-117.4,-109.4
Joel Embiid Points + Rebounds,41.5,-105,-125
Joel Embiid Points + Assists,34.5,-115,-115
Joel Embiid Rebounds + Assists,13.5,107,-154
Joel Embiid Three Points Made,1.5,107,-154
Joel Embiid Blocks,1.5,-142,-101
Joel Embiid Steals,0.5,-112,-128
Joel Embiid Steals + Blocks,2.5,111,-160
Joel Embiid Turnovers,2.5,-151,105
Kawhi Leonard Points,18.5,-124.8,58
Kawhi Leonard Rebounds,6.5,105.8,-135
Kawhi Leonard Assists,3.5,-124.2,-104.2
